UID,runID,cutID,SieveRowID,SieveColID,bpmX,bpmY,focal_theta,focal_x,focal_phi,focal_y,targetCalTh,targetCalPh,targetMeaTh,targetMeaPh,residualTh,residualPh
22410402,2241,128,2,4,-0.0032,-4.99e-4,0.002588190442934783,-0.022531290108695652,-0.0054203984239130434,0.006098110008152174,-0.007603,-0.005444,-0.007163889955710327,-0.0062418019917480465,-4.3911004428967326e-4,7.978019917480461e-4
22400602,2240,142,2,6,-2e-4,-5e-4,0.005560331082621083,-0.024236549686609685,-0.001113776431054131,-0.001809176178917379,-0.0144,2.04e-4,-0.01451825172492519,2.0437877760921247e-4,1.1825172492519167e-4,-3.78777609212493e-7
22400402,2240,128,2,4,-2e-4,-5e-4,0.0023492094946524064,-0.0245232635828877,-0.004393881550802139,0.010119964155080215,-0.007608,-0.008499,-0.0064649092133071745,-0.008830853961559046,-0.0011430907866928253,3.318539615590452e-4
22560902,2256,261,2,9,-1.97e-4,-5e-4,0.00566821335078534,-0.15562360732984293,0.009075357986910995,-0.01160629609947644,-0.0144,0.012703,-0.015073130965945418,0.012310358007063059,6.731309659454181e-4,3.9264199293694246e-4
22560401,2256,225,1,4,-1.97e-4,-5e-4,0.005892384005449591,-0.1378188310626703,-0.007234196525885558,0.005173044485013624,-0.021192,-0.008502,-0.020879168810141083,-0.008207660853528139,-3.1283118985891463e-4,-2.9433914647186016e-4
22561003,2256,269,3,10,-1.97e-4,-5e-4,-0.004250450051948052,-0.15327857142857143,0.015000808051948053,-0.012242198441558442,0.005978,0.015829,0.006140436737807776,0.015643881425428944,-1.6243673780777564e-4,1.8511857457105578e-4
22390400,2239,126,0,4,0.003794,-5.01e-4,0.011552564225352113,-0.012962107314929578,-0.008896827371830986,0.004321534549577464,-0.034798,-0.012569,-0.034784677505517926,-0.011111856487016503,-1.3322494482078965e-5,-0.0014571435129834972
22560905,2256,264,5,9,-1.97e-4,-5e-4,-0.014421953262032085,-0.14292286096256684,0.013883225401069519,-0.011641711577540107,0.026355,0.012703,0.02620591075454645,0.012503346091006158,1.490892454535515e-4,1.9965390899384246e-4
22411103,2241,178,3,11,-0.0032,-4.99e-4,1.4434550981627298e-4,-0.0344393357480315,0.012196588818897638,-0.021294776640419948,-8.13e-4,0.021944,-0.0014688689757285818,0.02164173333908024,6.558689757285818e-4,3.0226666091976253e-4
22450601,2245,141,1,6,-0.002208,-0.003497,0.013114370941828254,-0.03392054404432133,-0.004832203687811634,-0.008909636531855955,-0.032866,0.002247,-0.03200850990405011,0.0018647911377932347,-8.574900959498917e-4,3.822088622067652e-4
22410604,2241,144,4,6,-0.0032,-4.99e-4,-0.0054384522346368714,-0.030659151061452516,-0.0019467563983240224,-0.005315166955307263,0.012766,0.003256,0.012667849369452285,0.0024263586878697885,9.815063054771539e-5,8.296413121302119e-4
22400603,2240,143,3,6,-2e-4,-5e-4,4.2165833464467004e-4,-0.02411032421319797,-1.0812843304568528e-4,-2.742986195431472e-4,-8.15e-4,2.04e-4,-0.001213003258690621,1.4138867563735864e-4,3.9800325869062113e-4,6.261132436264135e-5
22570604,2257,46,4,6,-2e-4,-4.98e-4,-0.006301671524064171,0.09955168877005348,-0.0017546619189037433,-0.0021650294069518717,0.012772,2.04e-4,0.013504367065907862,-8.471246024605004e-5,-7.323670659078621e-4,2.8871246024605004e-4
22440700,2244,147,0,7,0.001792,-0.003498,0.016177125806451614,-0.04158329811827957,-0.0027791116559139784,-0.009220047043010753,-0.039678,0.001302,-0.0371155058098586,0.0016598089847282595,-0.0025624941901414007,-3.578089847282594e-4
22570700,2257,49,0,7,-2e-4,-4.98e-4,0.014656535117493473,0.080314746308094,-0.00415995227389034,-0.01117482044386423,-0.034775,0.00333,-0.033654696306486626,0.0034240118341337267,-0.0011203036935133772,-9.40118341337267e-5
22570302,2257,23,2,3,-2e-4,-4.98e-4,0.003459293717877095,0.09650581675977654,-0.003472368960893855,0.013162331905027932,-0.014398,-0.01095,-0.012953752589262103,-0.010510465280479032,-0.0014442474107378965,-4.395347195209665e-4
22411102,2241,177,2,11,-0.0032,-4.99e-4,0.0068350650828729285,-0.03761243867403315,0.010045379889502763,-0.022514289640883978,-0.014393,0.021944,-0.014218836646845813,0.021727069232709006,-1.7416335315418677e-4,2.1693076729099495e-4
22571203,2257,87,3,12,-2e-4,-4.98e-4,-0.004613622,0.10861162416438357,0.012737398794520549,-0.02382350904109589,0.005979,0.022083,0.006001887428433365,0.022246572283401843,-2.288742843336523e-5,-1.635722834018448e-4
22390405,2239,131,5,4,0.003794,-5.01e-4,-0.012191541380208334,-0.045179110234375,-0.01396449828125,0.0025627456330729165,0.033164,-0.012569,0.03307450647953518,-0.01221914201299607,8.949352046481871e-5,-3.49857987003931e-4
22390501,2239,134,1,5,0.003794,-5.01e-4,0.00954001906077348,-0.010847782044779005,-0.005248622998977901,0.005453482790055249,-0.028002,-0.010117,-0.028147051131113283,-0.00875559853430257,1.4505113111328266e-4,-0.0013614014656974291
22450302,2245,121,2,3,-0.002208,-0.003497,0.0061847191891891895,-0.01984162210810811,-0.00640747754054054,0.008964979702702703,-0.019285,-0.008905,-0.01941396486938509,-0.009844104180046472,1.2896486938509036e-4,9.391041800464714e-4
22440404,2244,130,4,4,0.001792,-0.003498,-0.003820092062663185,-0.039225216449086164,-0.007923922558746736,0.008009748671566579,0.014676,-0.010528,0.013590402868348214,-0.009250558010422447,0.0010855971316517858,-0.0012774419895775525
22450701,2245,148,1,7,-0.002208,-0.003497,0.010626196183206107,-0.03516615445292621,-0.001793865313816794,-0.009302409185750636,-0.026076,0.005372,-0.025698573745044893,0.004450885202441054,-3.7742625495510666e-4,9.211147975589453e-4
22400903,2240,164,3,9,-2e-4,-5e-4,1.9529726176785716e-4,-0.027892330851648352,0.007685108076923077,-0.012904808571428571,-8.15e-4,0.012706,-0.0013858316958597857,0.01234333278316791,5.708316958597858e-4,3.626672168320912e-4
22571002,2257,72,2,10,-2e-4,-4.98e-4,0.002943236181058496,0.09562579977715878,0.00664193200557103,-0.01813920058495822,-0.007606,0.015832,-0.0076408214870739575,0.015593553665897555,3.482148707395794e-5,2.3844633410244367e-4
22410802,2241,156,2,8,-0.0032,-4.99e-4,0.006194721479452055,-0.03360111890410959,0.00145946905369863,-0.011644203808219178,-0.014393,0.009506,-0.014746872100570825,0.008728640486520917,3.53872100570825e-4,7.773595134790847e-4
22400501,2240,134,1,5,-2e-4,-5e-4,0.009868997602179836,-0.016782809019891008,-0.006883055765667575,6.738658595912807e-4,-0.027985,-0.006047,-0.027891419942685524,-0.0057633331295657685,-9.358005731447398e-5,-2.8366687043423133e-4
22570705,2257,54,5,7,-2e-4,-4.98e-4,-0.018172505775401068,0.10680291802139037,-0.0020742252263636365,-0.010575760534759358,0.033149,0.00333,0.03261823066264828,0.0035934997306471678,5.307693373517177e-4,-2.634997306471676e-4
22390604,2239,144,4,6,0.003794,-5.01e-4,-0.004885458602150537,-0.0304613563172043,-6.575998634247312e-4,0.002681572090860215,0.012775,-0.003863,0.013009045615123064,-0.0031655184861065187,-2.3404561512306365e-4,-6.974815138934814e-4
22391102,2239,177,2,11,0.003794,-5.01e-4,0.0068564353125,-0.03938430596590909,0.011366798664772727,-0.014784700625,-0.014409,0.014835,-0.014760806572550893,0.015103022739404665,3.51806572550894e-4,-2.6802273940466486e-4
